Tract,Total Pop,  White alone,  Black or African American alone,  American Indian and Alaska Native alone,  Asian alone,  Native Hawaiian and Other Pacific Islander alone,  Some other race alone,  Two or more races:,Three or More/ Other
4211,"2,146","1,853",41,0,182,9,5,56,56
4212,"3,690","2,504",34,4,701,0,44,403,403
4213,"4,070","3,204",58,6,388,4,73,337,337
4214,"1,661","1,325",28,7,124,4,33,140,140
4215,"3,820","3,102",123,0,395,11,110,79,79
4216,"3,728","2,717",108,0,456,27,28,392,392
4217,"3,734","2,751",24,40,717,0,101,101,101
4218,"2,232","1,645",36,8,296,0,14,233,233
4219,"4,312","2,635",487,5,721,0,94,370,370
4220,"2,157","1,361",147,2,294,0,30,323,323
4221,"3,280","1,781",394,66,416,0,341,282,282
4222,"3,202","2,125",151,29,405,4,29,459,459
4223,"3,608","2,204",160,5,725,7,46,461,461
4224,"4,578","2,211",53,0,"1,891",0,213,210,210
4225,"4,638","2,272",169,245,"1,523",34,71,324,324
4227,"4,975","2,413",165,59,"1,664",12,269,393,393
4228,"9,229","3,128",383,71,"4,328",69,567,683,683
4229.01,"2,627","1,006",25,0,"1,371",106,60,59,59
4229.02,"3,019","1,161",471,0,865,12,207,303,303
4230,"4,932","2,989",319,15,"1,299",0,105,205,205
4231,"4,317","2,108","1,125",22,592,41,36,393,393
4232,"2,945","1,331",711,19,196,72,416,200,200
4233,"3,521","1,797",890,61,177,0,91,505,505
4234,"5,503","2,808",810,0,706,0,296,883,883
4235,"3,484","1,940",585,11,434,6,86,422,422
4236.01,"2,697","2,080",116,0,275,0,29,197,197
4236.02,"6,439","3,508",54,27,"2,023",65,171,591,591
4237,"4,148","3,005",100,18,674,20,84,247,247
4238,"3,127","2,626",71,0,269,0,7,154,154
4239.01,"2,160","1,407",237,17,197,0,79,223,223
4239.02,"1,482","1,104",35,0,220,0,3,120,120
4240.01,"3,976","2,026",758,18,489,0,481,204,204
4240.02,"2,626",862,899,14,242,0,392,217,217
